county_name,fips,pop2020,pop_density_perSqMile,perc_pop_65plus,median_HH_income,perc_college_grad
"Hays County, TX",48209,232894,343.5,11.7865,78588,35.8582
"Canyon County, ID",16027,232022,395,13.9784,55382,17.1033
"Hinds County, MS",28049,230932,265.5,13.8032,54559,25.8455
"Whatcom County, WA",53073,230843,109.6,16.8959,68119,32.1875
"Lake County, OH",39085,230796,1014.5,20.6992,77419,27.0956
"Richmond city, VA",51760,230581,3855.5,14.787,54662,33.2975
"Saratoga County, NY",36091,230555,284.6,18.0295,93256,40.3957
"Berkeley County, SC",45015,230499,209.8,13.7129,71484,22.1095
"Brazos County, TX",48041,230102,393,9.7166,49922,36.8061
"Mahoning County, OH",39099,229499,557.5,22.5278,58211,22.7856
"Oneida County, NY",36065,228726,188.7,20.6889,66759,23.7728
"Linn County, IA",19113,227370,317.2,16.6777,78652,32.5742
"Montgomery County, AL",1101,225904,288.1,14.9785,63316,28.8447
"Gaston County, NC",37071,225802,634.2,17.0539,60240,18.6409
"Jefferson County, MO",29099,225564,343.5,15.111,77496,19.8276
"Baldwin County, AL",1003,225463,141.8,21.832,69476,27.5983
"Jackson County, OR",41029,222304,79.9,22.2452,60609,26.0094
"Yolo County, CA",6113,221203,218,12.866,73444,35.6574
"Clay County, FL",12019,220763,365.3,15.4084,80638,24.2304
"Butte County, CA",6007,219114,133.9,19.0476,56681,24.0796
"Doña Ana County, NM",35013,218700,57.4,15.9588,46856,25.9758
"Shelby County, AL",1117,218514,278.4,13.8852,93876,39.4873
"Cabarrus County, NC",37025,218090,602.9,14.6307,75069,25.3189
"Yuma County, AZ",4027,214121,38.8,19.2555,54457,14.9529
"Mohave County, AZ",4015,213678,16.1,28.5771,52361,12.414
"Barnstable County, MA",25001,213558,542.4,30.5486,82898,39.2799
"Okaloosa County, FL",12091,212140,228,17.8104,72559,28.7578
"Johnston County, NC",37101,211601,267.4,13.8289,68209,19.6462
"Montgomery County, TN",47125,210495,390.4,10.8463,67157,23.086
"Delaware County, OH",39041,210414,474.9,12.8708,120179,49.2677
"Tuscaloosa County, AL",1125,210089,158.9,13.9917,59688,27.9558
"Lackawanna County, PA",42069,210085,457.6,22.1977,64306,26.6947
"Niagara County, NY",36063,209653,401.4,20.3269,66894,25.4605
"Champaign County, IL",17019,209084,209.9,12.6145,61343,41.05
"Harrison County, MS",28047,209061,364.2,15.296,61677,21.2237
"York County, ME",23031,208640,210.6,19.9669,77417,30.5145
"Washington County, PA",42125,207454,242.1,22.4132,72842,27.8049
"Clermont County, OH",39025,207021,457.9,15.7506,82585,27.1983
"Elkhart County, IN",18039,206556,446,15.9308,64285,18.4147
"Benton County, WA",53005,205544,120.9,15.3889,80576,29.9033
"Hall County, GA",13139,205525,523.3,14.3155,69267,20.2697
"Anderson County, SC",45007,203822,284.9,19.7221,60448,20.4024
"Calcasieu Parish, LA",22019,203807,191.6,16.5647,63265,20.5779
"Richmond County, GA",13245,203065,626.1,14.4545,54892,17.9
"Hawaii County, HI",15001,201959,50.1,19.1227,66495,25.1488
"Deschutes County, OR",41017,199817,66.2,19.3427,69474,30.0753
"St. Louis County, MN",27137,199427,31.9,20.2415,64197,27.9381
"Trumbull County, OH",39155,198183,320.5,22.2925,59277,17.1902
"Onslow County, NC",37133,197802,259.3,10.1895,62743,18.13
"Racine County, WI",55101,196612,591.3,17.0493,74242,25.8356
"Muscogee County, GA",13215,196062,906.1,14.7321,58774,21.9406
"Hernando County, FL",12053,196043,414.9,31.3681,56383,15.7478
"Tippecanoe County, IN",18157,195403,391,12.1354,59971,35.4487
"Sangamon County, IL",17167,194375,223.9,17.6895,76179,33.1353
"Minnehaha County, SD",46099,194180,240.6,14.1343,71912,29.2007
"El Dorado County, CA",6017,193913,113.5,18.9142,93060,30.8467
"Beaufort County, SC",45013,193403,335.6,24.586,76862,35.0165
"Livingston County, MI",26093,192671,340.9,16.1768,97473,34.0211
"Sumner County, TN",47165,192664,363.9,16.8397,76598,24.0782
"Charlotte County, FL",12015,191064,280.9,40.6592,62451,21.1115
"Saginaw County, MI",26145,190495,238.1,19.6278,60338,20.017
"Broome County, NY",36007,190269,269.6,20.3559,63603,25.8391
"Butler County, PA",42019,188610,239.2,19.6707,81120,32.4939
"Outagamie County, WI",55087,188401,295.5,15.2494,78599,27.6421
"Sarpy County, NE",31153,188134,787.2,11.4918,94150,36.0751
"Ellis County, TX",48139,186805,199.7,13.5773,85146,20.1677
"Santa Rosa County, FL",12113,186294,184.2,17.0843,78428,25.6847
"DeSoto County, MS",28033,186116,390.9,13.1117,79983,22.5856
"Iredell County, NC",37097,183058,319,16.9848,70008,24.3522
"Cass County, ND",38017,182946,103.7,12.5627,70506,35.2993
"Kent County, DE",10001,181760,310.1,17.5121,75796,22.7131
"Vanderburgh County, IN",18163,181713,778.3,18.3124,62371,24.4735
"Pitt County, NC",37147,181256,278,13.0208,54589,25.8307
"Boone County, MO",29019,181054,264.2,12.2135,65130,44.4927
"Imperial County, CA",6025,180991,43.3,13.8244,47127,14.6124
"Shasta County, CA",6089,180772,47.9,21.5647,60400,19.545
"Litchfield County, CT",9005,180429,196,20.6851,96324,33.2856
"Medina County, OH",39103,180310,427.9,17.4366,90465,31.4527
"Washington County, UT",49053,179541,74,21.9783,66777,24.7835
"Newport News city, VA",51700,178968,2604.5,13.6382,70329,24.6764
"Peoria County, IL",17143,178639,288.5,17.5035,71157,29.2602
"Midland County, TX",48329,178043,197.8,14.5493,78885,22.7281
"Ulster County, NY",36111,177798,158.2,18.9434,80327,30.1358
"Kanawha County, WV",54039,177729,197.1,21.2621,62187,22.5744
"Licking County, OH",39089,177657,260.3,17.6075,75108,23.7222
"Johnson County, TX",48251,177419,244.8,15.3602,77146,15.5512
"Shawnee County, KS",20177,176967,325.3,18.4193,65781,27.9865
"Bay County, FL",12005,173469,228.7,18.8085,66158,21.0432
"Muskegon County, MI",26121,173436,347.4,17.7604,57140,17.6998
"Scott County, IA",19163,173287,378.3,17.0215,73050,31.1176
"Winnebago County, WI",55139,172363,396.7,17.2543,71084,27.3402
"Aiken County, SC",45003,171518,160.1,19.7903,63528,25.6489
"Hendricks County, IN",18063,171484,421.4,14.2859,92992,33.2095
"McLean County, IL",17113,171285,144.7,12.9311,82097,42.4918
"Porter County, IN",18127,171029,409,16.2534,83793,25.5594
"Monroe County, PA",42089,170974,281.1,16.5358,78808,23.2508
"Alamance County, NC",37001,170548,402.3,18.8017,61124,21.5072
"Paulding County, GA",13223,170215,545.2,9.7812,85037,22.8563
"Kenosha County, WI",55059,170000,625,14.5688,75782,24.6875
"Greene County, OH",39057,169725,410.2,17.7222,80551,37.3338
"Pueblo County, CO",8101,169155,70.9,19.225,53596,19.8312
"Carroll County, MD",24013,168996,377.6,17.2318,112335,34.1444
"Davidson County, NC",37057,168374,304.7,18.8271,61403,19.0282
"Guadalupe County, TX",48187,168350,236.7,15.2112,84630,26.1782
"Maui County, HI",15009,167641,144.3,18.3565,86043,23.847
"Kootenai County, ID",16055,167496,134.6,19.1503,66985,23.1425
"Kenton County, KY",21117,167308,1044,14.6305,73566,29.1699
"Ector County, TX",48135,167194,186.2,13.6237,64823,12.2747
"Lee County, AL",1081,165375,272.2,12.1844,59197,32.5222
"Wyandotte County, KS",20209,165303,1090.4,13.733,52182,15.9088
"Kent County, RI",44003,164578,976.6,19.9146,84595,31.8949
"Chittenden County, VT",50007,164350,306.3,14.7715,86757,47.1675
"Beaver County, PA",42007,164155,377.6,23.6063,66915,23.1773
"Charles County, MD",24017,164018,358.3,12.4761,124795,25.8842
"Rock County, WI",55105,163774,228.1,17.5003,68875,20.6569
"Dorchester County, SC",45035,163262,284.8,13.64,75131,23.9818
"Portage County, OH",39133,162706,333.8,17.0842,72080,26.8211
"Middlesex County, CT",9007,162611,440.3,19.9654,103596,39.3115
"Centre County, PA",42027,162483,146.4,14.4452,67275,39.8231
"Martin County, FL",12085,161980,298.1,32.5275,70665,28.975
"Yellowstone County, MT",30111,161935,61.5,18.2061,69373,27.3201
